AggloCluster, Cluster0, Cluster1, Cluster2, Cluster3, Cluster4, Cluster5, Cluster6, Cluster7, Cluster8, Cluster9, Cluster10, Cluster11, Cluster12, Cluster13, Cluster14, Cluster15, Cluster16, Cluster17, Cluster18, Cluster19, Cluster20, Cluster21, Cluster22, Cluster23, Cluster24, Cluster25, Cluster26, Cluster27, Cluster28, Cluster29, Cluster30, Cluster31, Cluster32, Cluster33, Cluster34, Cluster35, Cluster36, Cluster37, Cluster38, Cluster39, Cluster40, Cluster41, Cluster42, Cluster43, Cluster44, Cluster45, Cluster46, Cluster47, Cluster48, Cluster49, Cluster50, Cluster51, Cluster52, Cluster53, Cluster54, Cluster55, Cluster56, Cluster57, Cluster58, Cluster59, Cluster60, Cluster61, Cluster62, Cluster63, Cluster64, Cluster65, Cluster66, Cluster67, Cluster68, Cluster69, Cluster70, Cluster71, Cluster72, Cluster73, Cluster74, Cluster75, Cluster76, Cluster77, Cluster78, Cluster79, Cluster80, Cluster81, Cluster82, Cluster83, Cluster84, Cluster85, Cluster86, Cluster87, Cluster88, Cluster89, Cluster90, Cluster91, Cluster92, Cluster93, Cluster94, Cluster95, Cluster96, Cluster97, Cluster98, Cluster99, Cluster100, Cluster101, Cluster102, Cluster103, Cluster104, Cluster105, Cluster106, Cluster107, Cluster108, Cluster109, Cluster110, Cluster111, Cluster112, Cluster113, Cluster114, Cluster115, Cluster116, Cluster117, Cluster118, Cluster119, Cluster120, Cluster121, Cluster122, Cluster123, Cluster124, Cluster125, Cluster126, Cluster127, Cluster128, Cluster129, Cluster130, Cluster131, Cluster132, Cluster133, Cluster134, Cluster135, Cluster136, Cluster137, Cluster138, Cluster139, Cluster140, Cluster141, Cluster142, Cluster143, Cluster144, Cluster145, Cluster146, Cluster147, Cluster148, Cluster149, Cluster150, Cluster151, Cluster152, Cluster153, Cluster154, Cluster155, Cluster156, Cluster157, Cluster158, Cluster159, Cluster160, Cluster161, Cluster162, Cluster163, Cluster164, Cluster165, Cluster166, Cluster167, Cluster168, Cluster169, Cluster170, Cluster171, Cluster172, Cluster173, Cluster174, Cluster175, Cluster176, Cluster177, Cluster178, Cluster179, Cluster180, Cluster181, Cluster182, Cluster183, Cluster184, Cluster185, Cluster186, Cluster187, Cluster188, Cluster189, Cluster190, Cluster191, Cluster192, Cluster193, Cluster194, Cluster195, Cluster196, Cluster197, Cluster198, Cluster199, Cluster200, Cluster201, Cluster202, Cluster203, Cluster204, Cluster205, Cluster206, Cluster207, Cluster208, Cluster209, Cluster210, Cluster211, Cluster212, Cluster213, Cluster214, Cluster215, Cluster216, Cluster217, Cluster218, Cluster219, Cluster220, Cluster221, Cluster222, Cluster223, Cluster224, Cluster225, Cluster226, Cluster227, Cluster228, Cluster229, Cluster230, Cluster231, Cluster232, Cluster233, Cluster234, Cluster235, Cluster236, Cluster237, Cluster238, Cluster239, Cluster240, Cluster241, Cluster242, Cluster243, Cluster244, Cluster245, Cluster246, Cluster247, Cluster248, Cluster249, Cluster250, Cluster251, Cluster252, Cluster253, Cluster254, Cluster255, Cluster256, Cluster257, Cluster258, Cluster259, Cluster260, Cluster261, Cluster262, Cluster263, Cluster264, Cluster265, Cluster266, Cluster267, Cluster268, Cluster269, Cluster270, Cluster271, Cluster272, Cluster273, Cluster274, Cluster275, Cluster276, Cluster277, Cluster278, Cluster279, Cluster280, Cluster281, Cluster282, Cluster283, Cluster284, Cluster285, Cluster286, Cluster287, Cluster288, Cluster289, Cluster290, Cluster291, Cluster292, Cluster293, Cluster294, Cluster295, Cluster296, Cluster297, Cluster298, Cluster299, Cluster300, Cluster301, Cluster302, Cluster303, Cluster304, Cluster305, Cluster306, Cluster307, Cluster308, Cluster309, Cluster310, Cluster311, Cluster312, Cluster313, Cluster314, Cluster315, Cluster316, Cluster317, Cluster318, Cluster319, Cluster320, Cluster321, Cluster322, Cluster323, Cluster324, Cluster325, Cluster326, Cluster327, Cluster328, Cluster329, Cluster330, Cluster331, Cluster332, Cluster333, Cluster334, Cluster335, Cluster336, Cluster337, Cluster338, Cluster339, Cluster340, Cluster341, Cluster342, Cluster343, Cluster344, Cluster345, Cluster346, Cluster347, Cluster348, Cluster349, Cluster350, Cluster351, Cluster352, Cluster353, Cluster354, Cluster355, Cluster356, Cluster357, Cluster358, Cluster359, Cluster360, Cluster361, Cluster362, Cluster363, Cluster364, Cluster365, Cluster366, Cluster367, Cluster368, Cluster369, Cluster370, Cluster371, Cluster372, Cluster373, Cluster374, Cluster375, Cluster376, Cluster377, Cluster378, Cluster379, Cluster380, Cluster381, Cluster382, Cluster383, Cluster384, Cluster385, Cluster386, Cluster387, Cluster388, Cluster389, Cluster390, Cluster391, Cluster392, Cluster393, Cluster394, Cluster395, Cluster396, Cluster397, Cluster398, Cluster399, Cluster400, Cluster401, Cluster402, Cluster403, Cluster404, Cluster405, Cluster406, Cluster407, Cluster408, Cluster409, Cluster410, Cluster411, Cluster412, Cluster413, Cluster414, Cluster415, Cluster416, Cluster417, Cluster418, Cluster419, Cluster420, Cluster421, Cluster422, Cluster423, Cluster424
Cluster0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster1,0.398234466323895,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster2,0.425092123119956,0.820033844345102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster3,0.449188405038598,0.835912171384712,0.221614450900319,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster4,0.178745993106359,0.516318093824682,0.394532370817664,0.329427190148927,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster5,0.155109508565477,0.457560958420178,0.446800892385072,0.391362405093083,0.0619382228598527,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster6,0.536766996331161,0.467824978422827,0.799619342399951,0.930285170664656,0.715512857913577,0.684784096324799,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster7,0.590602549136332,0.517390779118008,0.839266284378717,0.976995182874817,0.769291691006894,0.739575118787052,0.0560000756551315,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster8,0.542174755191788,0.69621974094962,0.599169974360243,0.786813612034154,0.693967202110061,0.692141618823311,0.337736185421974,0.342908825810584,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster9,0.158589307540246,0.346461596834208,0.502033009732821,0.578639461538374,0.337284242234038,0.30992186123838,0.378303657483753,0.43201724065812,0.421292491731946,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
